nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
65;231.89;0.20;19.74;363.00;
100;303.38;0.20;19.56;7086.00;
171;2068.85;0.28;28.20;777.00;
14;141.79;0.03;2.65;88.00;
29;1354.36;0.20;19.65;316.40;
100;308.39;0.16;16.05;3416.00;
137;417.39;0.21;20.83;14553.00;
150;702.74;0.20;19.86;5189.00;
200;1148.70;0.20;19.82;5834.00;
nn: true ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.99 ; T_max: 100000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;12.86;0.00;0.00;0.00;
11;141.24;0.02;2.44;3.80;
12;0.52;0.00;0.00;0.00;
13;138.78;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;146.93;0.27;27.27;21.00;
34;173.38;0.24;23.64;304.00;
65;231.74;0.20;19.74;363.00;
100;307.89;0.20;19.56;7086.00;
171;2061.08;0.28;28.20;777.00;
14;140.66;0.03;2.65;88.00;
29;1508.19;0.20;20.19;325.00;
100;312.77;0.16;16.05;3416.00;
137;419.11;0.21;20.83;14553.00;
150;700.57;0.20;19.86;5189.00;
200;1149.71;0.20;19.82;5834.00;
nn: true ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.995 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;132.67;0.00;0.47;1.00;
11;4.13;0.00;0.00;0.00;
12;0.52;0.00;0.00;0.00;
13;139.03;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.16;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;145.75;0.27;27.27;21.00;
34;174.46;0.24;23.64;304.00;
65;233.72;0.20;19.74;363.00;
100;306.54;0.20;19.56;7086.00;
171;2069.92;0.28;28.20;777.00;
14;139.80;0.03;2.65;88.00;
29;1102.73;0.20;20.19;325.00;
100;308.67;0.16;16.05;3416.00;
137;417.35;0.21;20.83;14553.00;
150;708.83;0.20;19.86;5189.00;
200;1148.66;0.20;19.82;5834.00;
nn: true ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.995 ; T_max: 10000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;132.45;0.00;0.47;1.00;
11;148.57;0.02;1.92;3.00;
12;0.52;0.00;0.00;0.00;
13;139.40;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.20;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;146.66;0.27;27.27;21.00;
34;173.59;0.24;23.64;304.00;
65;234.62;0.20;19.74;363.00;
100;307.43;0.20;19.56;7086.00;
171;2072.34;0.28;28.20;777.00;
14;141.78;0.03;2.65;88.00;
29;1515.89;0.20;20.19;325.00;
100;313.45;0.16;16.05;3416.00;
137;419.48;0.21;20.83;14553.00;
150;703.85;0.20;19.86;5189.00;
200;1143.25;0.20;19.82;5834.00;
nn: true ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.995 ; T_max: 100000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;95.57;0.00;0.00;0.00;
11;130.85;0.02;2.31;3.60;
12;0.52;0.00;0.00;0.00;
13;133.34;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;142.11;0.27;27.27;21.00;
34;169.21;0.24;23.64;304.00;
65;228.62;0.20;19.74;363.00;
100;304.90;0.20;19.56;7086.00;
171;2057.89;0.28;28.20;777.00;
14;141.79;0.03;2.65;88.00;
29;1420.25;0.20;20.19;325.00;
100;312.62;0.16;16.05;3416.00;
137;420.78;0.21;20.83;14553.00;
150;710.94;0.20;19.86;5189.00;
200;1151.19;0.20;19.82;5834.00;
nn: true ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.999 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;99.68;0.00;0.00;0.00;
11;134.21;0.02;2.31;3.60;
12;0.53;0.00;0.00;0.00;
13;138.93;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;143.89;0.27;27.27;21.00;
34;172.74;0.24;23.64;304.00;
65;234.38;0.20;19.74;363.00;
100;308.20;0.20;19.56;7086.00;
171;2073.12;0.28;28.20;777.00;
14;143.35;0.03;2.65;88.00;
29;1394.53;0.20;20.19;325.00;
100;308.72;0.16;16.05;3416.00;
137;418.91;0.21;20.83;14553.00;
150;709.83;0.20;19.86;5189.00;
200;1152.30;0.20;19.82;5834.00;
nn: true ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.999 ; T_max: 10000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;131.47;0.00;0.47;1.00;
11;167.52;0.01;1.28;2.00;
12;0.53;0.00;0.00;0.00;
13;137.89;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;144.57;0.27;27.27;21.00;
34;173.89;0.24;23.64;304.00;
65;231.76;0.20;19.74;363.00;
100;305.35;0.20;19.56;7086.00;
171;2071.06;0.28;28.20;777.00;
14;141.79;0.03;2.65;88.00;
29;1434.30;0.20;20.19;325.00;
100;312.50;0.16;16.05;3416.00;
137;417.00;0.21;20.83;14553.00;
150;700.83;0.20;19.86;5189.00;
200;1152.90;0.20;19.82;5834.00;
nn: true ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.999 ; T_max: 100000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;86.22;0.00;0.00;0.00;
11;134.52;0.03;2.56;4.00;
12;0.53;0.00;0.00;0.00;
13;138.57;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;144.95;0.27;27.27;21.00;
34;173.21;0.24;23.64;304.00;
65;233.67;0.20;19.74;363.00;
100;307.69;0.20;19.56;7086.00;
171;2075.01;0.28;28.20;777.00;
14;142.30;0.03;2.65;88.00;
29;991.37;0.20;20.19;325.00;
100;314.32;0.16;16.05;3416.00;
137;420.41;0.21;20.83;14553.00;
150;711.18;0.20;19.86;5189.00;
200;1154.72;0.20;19.82;5834.00;
init: nn ; neighbourhood: 2opt ; cooling: log ; T_max: 15
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.21;0.00;0.00;0.00;
10;24.52;0.00;0.00;0.00;
11;136.05;0.03;2.56;4.00;
12;0.52;0.00;0.00;0.00;
13;140.36;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;147.72;0.27;27.27;21.00;
34;173.76;0.24;23.64;304.00;
65;230.03;0.20;19.74;363.00;
100;305.18;0.20;19.56;7086.00;
171;2085.42;0.28;28.20;777.00;
14;139.37;0.03;2.65;88.00;
29;974.06;0.20;20.19;325.00;
100;314.88;0.16;16.05;3416.00;
137;422.56;0.21;20.83;14553.00;
150;705.12;0.20;19.86;5189.00;
200;1163.26;0.20;19.82;5834.00;
init: nn ; neighbourhood: 2opt ; cooling: log ; T_max: 20
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;19.73;0.00;0.00;0.00;
11;165.89;0.00;0.00;0.00;
12;0.54;0.00;0.00;0.00;
13;141.43;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;147.10;0.27;27.27;21.00;
34;174.22;0.24;23.64;304.00;
65;232.97;0.20;19.74;363.00;
100;305.24;0.20;19.56;7086.00;
171;2094.25;0.28;28.20;777.00;
14;141.04;0.03;2.65;88.00;
29;997.81;0.20;20.17;324.80;
100;314.24;0.16;16.05;3416.00;
137;420.14;0.21;20.83;14553.00;
150;714.03;0.20;19.86;5189.00;
200;1160.85;0.20;19.82;5834.00;
init: nn ; neighbourhood: 2opt ; cooling: log ; T_max: 30
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.09;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;129.90;0.00;0.47;1.00;
11;178.87;0.01;1.41;2.20;
12;0.52;0.00;0.00;0.00;
13;140.04;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;147.13;0.27;27.27;21.00;
34;176.00;0.24;23.64;304.00;
65;230.59;0.20;19.74;363.00;
100;303.31;0.20;19.56;7086.00;
171;2052.29;0.28;28.20;777.00;
14;143.97;0.03;2.65;88.00;
29;1507.57;0.20;20.19;325.00;
100;310.87;0.16;16.05;3416.00;
137;418.16;0.21;20.83;14553.00;
150;702.48;0.20;19.86;5189.00;
200;1155.84;0.20;19.82;5834.00;
nn: true ; neighbourhood: 2opt ; tabu list size: 20 ; cadence: 10
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;9.01;0.02;1.92;3.00;
12;0.53;0.00;0.00;0.00;
13;13.63;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;26.51;0.14;14.29;11.00;
34;114.37;0.17;17.19;221.00;
65;540.62;0.18;18.00;331.00;
100;1550.81;0.17;17.39;6299.00;
171;23037.85;0.28;28.02;772.00;
14;16.94;0.01;1.41;47.00;
29;81.21;0.03;2.73;44.00;
100;1634.77;0.01;0.50;107.00;
137;3753.62;0.08;7.76;5424.00;
150;5085.04;0.03;2.54;665.00;
200;10994.10;0.07;6.62;1949.00;
nn: true ; neighbourhood: 2opt ; tabu list size: 20 ; cadence: 50
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;13.58;0.02;1.92;3.00;
12;0.52;0.00;0.00;0.00;
13;19.75;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;37.74;0.14;14.29;11.00;
34;157.99;0.17;17.19;221.00;
65;712.79;0.18;18.00;331.00;
100;2199.68;0.17;17.22;6237.00;
171;23757.64;0.28;28.02;772.00;
14;24.65;0.01;1.41;47.00;
29;112.92;0.03;2.73;44.00;
100;2076.02;0.01;0.50;107.00;
137;4504.59;0.08;7.76;5424.00;
150;6089.89;0.03;2.54;665.00;
200;12735.85;0.07;6.62;1949.00;
nn: true ; neighbourhood: 2opt ; tabu list size: 20 ; cadence: 100
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;14.08;0.02;1.92;3.00;
12;0.52;0.00;0.00;0.00;
13;20.13;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;38.10;0.14;14.29;11.00;
34;158.68;0.17;17.19;221.00;
65;729.15;0.18;18.00;331.00;
100;7383.16;0.17;17.22;6237.00;
171;9013.90;0.28;28.02;772.00;
14;24.17;0.01;1.41;47.00;
29;110.61;0.03;2.73;44.00;
100;8144.57;0.01;0.50;107.00;
137;4496.86;0.08;7.76;5424.00;
150;6056.46;0.03;2.54;665.00;
200;12713.84;0.07;6.62;1949.00;
nn: true ; neighbourhood: 2opt ; tabu list size: 50 ; cadence: 10
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.32;0.00;0.00;0.00;
10;0.15;0.00;0.00;0.00;
11;9.23;0.02;1.92;3.00;
12;0.52;0.00;0.00;0.00;
13;13.70;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;26.41;0.14;14.29;11.00;
34;114.32;0.17;17.19;221.00;
65;544.81;0.18;18.00;331.00;
100;1588.48;0.17;17.39;6299.00;
171;23635.20;0.28;28.02;772.00;
14;16.86;0.01;1.41;47.00;
29;79.87;0.03;2.73;44.00;
100;1603.38;0.01;0.50;107.00;
137;3726.07;0.08;7.76;5424.00;
150;5073.70;0.03;2.54;665.00;
200;11005.81;0.07;6.62;1949.00;
nn: true ; neighbourhood: 2opt ; tabu list size: 50 ; cadence: 50
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.09;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;26.99;0.01;1.28;2.00;
12;0.53;0.00;0.00;0.00;
13;33.92;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;66.06;0.14;14.29;11.00;
34;265.18;0.17;17.19;221.00;
65;1122.80;0.18;18.00;331.00;
100;4102.04;0.17;16.72;6056.00;
171;12163.36;0.28;28.02;772.00;
14;43.41;0.01;1.41;47.00;
29;188.98;0.03;2.73;44.00;
100;3086.78;0.01;0.50;107.00;
137;6388.50;0.08;7.76;5424.00;
150;19300.57;0.03;2.54;665.00;
200;16872.04;0.07;6.62;1949.00;
nn: true ; neighbourhood: 2opt ; tabu list size: 50 ; cadence: 100
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;27.61;0.00;0.00;0.00;
12;0.52;0.00;0.00;0.00;
13;34.22;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;68.27;0.14;14.29;11.00;
34;269.08;0.17;17.19;221.00;
65;1139.07;0.18;18.00;331.00;
100;4166.47;0.17;16.72;6056.00;
171;12384.86;0.28;28.02;772.00;
14;43.47;0.01;1.41;47.00;
29;190.94;0.03;2.73;44.00;
100;3096.37;0.01;0.50;107.00;
137;6451.32;0.08;7.76;5424.00;
150;8651.69;0.03;2.54;665.00;
200;17012.46;0.07;6.62;1949.00;
nn: true ; neighbourhood: 2opt ; tabu list size: 100 ; cadence: 10
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;9.30;0.02;1.92;3.00;
12;0.53;0.00;0.00;0.00;
13;13.79;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;26.35;0.14;14.29;11.00;
34;114.86;0.17;17.19;221.00;
65;544.53;0.18;18.00;331.00;
100;1591.13;0.17;17.39;6299.00;
171;23484.39;0.28;28.02;772.00;
14;17.13;0.01;1.41;47.00;
29;81.10;0.03;2.73;44.00;
100;1640.73;0.01;0.50;107.00;
137;3711.01;0.08;7.76;5424.00;
150;5074.38;0.03;2.54;665.00;
200;10955.00;0.07;6.62;1949.00;
nn: true ; neighbourhood: 2opt ; tabu list size: 100 ; cadence: 50
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.14;0.00;0.00;0.00;
11;26.67;0.01;1.28;2.00;
12;0.52;0.00;0.00;0.00;
13;33.40;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.16;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;65.17;0.14;14.29;11.00;
34;261.07;0.17;17.19;221.00;
65;1129.42;0.18;18.00;331.00;
100;4119.18;0.17;16.72;6056.00;
171;12281.53;0.28;28.02;772.00;
14;42.37;0.01;1.41;47.00;
29;186.91;0.03;2.73;44.00;
100;3073.90;0.01;0.50;107.00;
137;6414.30;0.08;7.76;5424.00;
150;20073.67;0.03;2.54;665.00;
200;16898.21;0.07;6.62;1949.00;
nn: true ; neighbourhood: 2opt ; tabu list size: 100 ; cadence: 100
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.07;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.22;0.00;0.00;0.00;
10;0.15;0.00;0.00;0.00;
11;42.94;0.01;1.28;2.00;
12;0.53;0.00;0.00;0.00;
13;53.10;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;0.15;0.00;0.00;0.00;
12;0.19;0.00;0.00;0.00;
13;0.23;0.00;0.00;0.00;
17;104.61;0.14;14.29;11.00;
34;408.37;0.17;17.19;221.00;
65;1651.64;0.18;18.00;331.00;
100;6226.85;0.17;16.72;6056.00;
171;16386.78;0.28;28.02;772.00;
14;67.34;0.01;1.41;47.00;
29;291.36;0.03;2.73;44.00;
100;4403.50;0.01;0.50;107.00;
137;8985.19;0.08;7.76;5424.00;
150;11866.14;0.03;2.54;665.00;
200;22531.11;0.07;6.62;1949.00;
