nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
100;319.89;3.17;317.46;115015.00;
171;666.61;7.22;721.97;19890.40;
14;155.87;0.13;13.10;435.20;
29;207.08;0.95;94.65;1523.80;
100;288.94;5.35;535.07;113874.60;
137;611.03;6.47;646.52;451611.80;
150;400.88;7.03;702.73;183622.80;
200;593.61;8.73;873.28;257066.80;
init: random ; neighbourhood: swap ; cooling: log ; T_max: 20
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.43;0.00;0.00;0.00;
6;0.54;0.00;0.00;0.00;
7;0.54;0.00;0.00;0.00;
8;2.30;0.00;0.00;0.00;
9;11.36;0.00;0.00;0.00;
10;41.10;0.00;0.00;0.00;
11;180.81;0.02;2.05;3.20;
12;171.08;0.04;4.18;7.40;
13;284.71;0.04;4.25;7.40;
5;0.54;0.00;0.00;0.00;
6;0.56;0.00;0.00;0.00;
7;0.89;0.00;0.00;0.00;
8;5.35;0.00;0.00;0.00;
9;14.69;0.00;0.00;0.00;
10;106.57;0.00;0.10;2.00;
11;204.65;0.00;0.36;10.00;
12;221.03;0.01;0.50;19.00;
13;236.49;0.01;0.80;40.00;
17;213.23;1.29;128.83;99.20;
34;381.40;1.40;140.45;1806.20;
65;262.00;2.76;276.37;5082.40;
100;351.09;3.23;322.93;116996.00;
171;437.30;7.21;721.10;19866.40;
14;264.00;0.14;14.41;478.80;
29;205.03;0.98;97.88;1575.80;
100;346.53;5.36;535.60;113986.20;
137;489.32;6.50;649.94;454002.80;
150;502.83;7.12;712.09;186069.00;
200;573.48;8.66;865.58;254800.80;
init: random ; neighbourhood: swap ; cooling: log ; T_max: 30
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.53;0.00;0.00;0.00;
6;0.50;0.00;0.00;0.00;
7;0.54;0.00;0.00;0.00;
8;1.48;0.00;0.00;0.00;
9;18.30;0.00;0.00;0.00;
10;51.42;0.00;0.09;0.20;
11;183.85;0.03;2.56;4.00;
12;190.32;0.07;6.67;11.80;
13;174.06;0.07;6.67;11.60;
5;0.52;0.00;0.00;0.00;
6;0.53;0.00;0.00;0.00;
7;0.86;0.00;0.00;0.00;
8;2.35;0.00;0.00;0.00;
9;30.35;0.00;0.00;0.00;
10;125.41;0.00;0.30;6.00;
11;160.89;0.00;0.43;12.00;
12;182.50;0.01;0.56;21.00;
13;207.83;0.01;0.76;38.00;
17;211.70;1.16;115.58;89.00;
34;199.15;1.42;141.88;1824.60;
65;392.05;2.76;276.49;5084.60;
100;456.79;3.28;328.28;118934.20;
171;529.96;7.25;725.15;19978.00;
14;196.23;0.16;16.40;545.00;
29;287.81;0.96;96.22;1549.20;
100;324.12;5.36;535.67;114002.20;
137;377.69;6.48;647.61;452376.00;
150;497.87;7.08;708.00;185001.40;
200;619.68;8.57;857.26;252352.40;
nn: false ; neighbourhood: swap ; tabu list size: 20 ; cadence: 10
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.05;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.04;0.00;0.00;0.00;
8;0.24;0.00;0.00;0.00;
9;5.04;0.08;7.62;8.00;
10;0.26;0.00;0.00;0.00;
